"chamber_ID","site","treatment","chamber","month","day","year","date","days.post.fert","fert.added","LU","N2O_mg_N_m2_h","N2O_m","N2O_r2","CO2_m","CO2_r2","CH4_m","CH4_r2"
"T18_160_C_0","T18","160","C","2","8","2017","2/8/2017","0","1",NA,0.0101826834794585,0.001202,0.530629774723411,42.6695306666667,0.917659542124995,-0.0104566666666667,-0.0748334731827955
"T18_160_D_0","T18","160","D","2","8","2017","2/8/2017","0","1",NA,0.0186258963540753,0.002252,0.98497235901013,40.029708,0.972280106814858,-0.00252000000000001,-0.215177534632362
"T18_160_E_0","T18","160","E","2","8","2017","2/8/2017","0","1",NA,0.0255724719950771,0.00293,0.849911629682829,58.01511,0.987472132187474,-0.00315933333333335,-0.423724750969854
"T18_80_A_1","T18","80","A","2","9","2017","2/9/2017","1","1","1",0.0112426615578185,0.00128266666666667,0.82538262505132,25.266826,0.989248464314545,0.00299999999999999,0.449767240581438
"T18_80_B_1","T18","80","B","2","9","2017","2/9/2017","1","1","1",0.0133398969446401,0.00152,0.992443614203249,11.267904,0.978852076062815,0.00586933333333332,-0.126589906223553
"T18_80_C_1","T18","80","C","2","9","2017","2/9/2017","1","1","1",0.0209944529479854,0.00248066666666667,0.976726413541472,26.234662,0.938089945765582,0.00819133333333334,0.331263787485954
"T18_80_D_1","T18","80","D","2","9","2017","2/9/2017","1","1","1",0.0104744589473918,0.00115666666666667,0.346460456942003,22.04992,0.729183594836117,0.041698,-0.0331877042074062
"T18_80_E_1","T18","80","E","2","9","2017","2/9/2017","1","1","1",0.00854782529486193,0.000983999999999998,0.816243474898499,21.33451,0.998589243091465,-0.00501599999999999,-0.343076439984237
"T18_120_A_1","T18","120","A","2","9","2017","2/9/2017","1","1",NA,0.00103807525035523,0.000111333333333335,-0.48844638568941,19.73112,0.995934489844415,-0.00342133333333333,0.529051632655934
"T18_120_B_1","T18","120","B","2","9","2017","2/9/2017","1","1",NA,0.00682203307934341,0.000764666666666668,0.869422749305196,18.040374,0.995654039641883,-0.00817666666666666,0.162721118356845
"T18_120_C_1","T18","120","C","2","9","2017","2/9/2017","1","1",NA,0.00808531525187438,0.000937999999999999,0.633449561139833,23.8004026666667,0.986918388679593,-0.0211046666666667,0.137747935155591
"T18_120_D_1","T18","120","D","2","9","2017","2/9/2017","1","1",NA,0.00881872100818624,0.000985999999999998,0.968781097032815,23.692288,0.967509872801709,-0.0123853333333333,0.792724177459238
"T18_120_E_1","T18","120","E","2","9","2017","2/9/2017","1","1",NA,0.00887783552266642,0.000984000000000001,0.975720053106456,23.101346,0.971935276463415,0.0466013333333333,0.368840259035469
"T18_160_A_1","T18","160","A","2","9","2017","2/9/2017","1","1",NA,0.0264831367251357,0.00293533333333333,0.569944642138681,25.2076326666667,0.959633468093966,-0.00423866666666668,-0.479335058481111
"T18_160_B_1","T18","160","B","2","9","2017","2/9/2017","1","1",NA,0.00277652261078096,0.000357333333333333,-0.417038406006353,25.1443253333333,0.91244003885203,-0.00430533333333333,-0.259157632508325
"T18_160_C_1","T18","160","C","2","9","2017","2/9/2017","1","1",NA,0.010534366341724,0.00125133333333333,0.889620888909341,29.24195,0.947389508547999,-0.03708,0.385646139029816
"T18_160_D_1","T18","160","D","2","9","2017","2/9/2017","1","1",NA,0.0269241136591722,0.00339666666666667,0.706604268360231,29.8803713333333,0.969699177569832,-0.011138,0.133739743789554
"T18_160_E_1","T18","160","E","2","9","2017","2/9/2017","1","1",NA,0.0342193477458706,0.00465866666666666,0.806704153190488,37.922924,0.98321968880149,-0.00376000000000001,0.0318352811355762
"T27_80_A_0","T27","80","A","2","9","2017","2/9/2017","0","1","1",0.0142376184787279,0.00159066666666666,0.0639294874673451,6.18591733333333,0.872766387369511,-0.001492,-0.278172461136452
"T27_80_B_0","T27","80","B","2","9","2017","2/9/2017","0","1","1",0.0622259004772745,0.00718466666666666,0.905717939861879,44.9514233333333,0.999553015049065,-0.0146706666666667,0.690958539268301
"T27_80_C_0","T27","80","C","2","9","2017","2/9/2017","0","1","1",0.0241705373370753,0.00312,0.851459416233507,22.4106673333333,0.823427894076402,0.00561933333333334,-0.424297716765773
"T27_80_D_0","T27","80","D","2","9","2017","2/9/2017","0","1","1",0.0582407355337841,0.00680333333333333,0.997945578962544,31.317876,0.990457159301267,-0.0397046666666667,0.326949717857642
"T27_80_E_0","T27","80","E","2","9","2017","2/9/2017","0","1","1",0.0496736657367396,0.00582533333333333,0.94525637916157,29.4277973333333,0.924576484220483,-0.000871999999999993,-0.471392995949333
"T27_120_A_0","T27","120","A","2","9","2017","2/9/2017","0","1",NA,0.0444545459671331,0.006164,0.963318926787252,73.0406873333333,0.997138532049781,0.002036,-0.337733050980152
"T27_120_B_0","T27","120","B","2","9","2017","2/9/2017","0","1",NA,0.028906653054148,0.00371,0.99135738697194,50.1725,0.999993381955621,-0.0240900000000001,-0.555934505504877
"T27_120_C_0","T27","120","C","2","9","2017","2/9/2017","0","1",NA,0.0570284474536358,0.007404,0.937864257548842,30.84665,0.946183158562729,-0.00266466666666668,-0.350267940196559
"T27_120_D_0","T27","120","D","2","9","2017","2/9/2017","0","1",NA,0.0367547998249117,0.00433866666666667,0.997577375067712,43.340702,0.983707352270281,0.00122133333333333,-0.475245855580173
"T27_120_E_0","T27","120","E","2","9","2017","2/9/2017","0","1",NA,0.0185404606886308,0.002346,0.681695466784571,30.4451913333333,0.960829689636012,-0.00236133333333334,-0.330281309579424
"T27_160_A_0","T27","160","A","2","9","2017","2/9/2017","0","1",NA,0.0210795526704318,0.002406,0.933219188256849,36.552274,0.979960876929057,-0.000159999999999995,-0.498617591152583
"T27_160_B_0","T27","160","B","2","9","2017","2/9/2017","0","1",NA,0.00716104356761406,0.000888571428571427,0.593658604904064,6.14030285714285,0.989546102642833,-0.0645652380952381,0.981745921984616
"T27_160_C_0","T27","160","C","2","9","2017","2/9/2017","0","1",NA,0.0136035066525778,0.00122533333333333,0.771705774587798,46.8431573333333,0.919331722892522,0.0120306666666667,0.799036315786283
"T27_160_D_0","T27","160","D","2","9","2017","2/9/2017","0","1",NA,0.0460681442911965,0.00541666666666666,0.937043025986545,18.9606506666667,0.860461227582312,0.0133133333333333,0.990518262146339
"T27_160_E_0","T27","160","E","2","9","2017","2/9/2017","0","1",NA,0.0413386645038433,0.00497133333333333,0.97058644577206,54.9783526666667,0.965618512943191,-0.00589733333333334,0.063589692078152
"T18_80_A_2","T18","80","A","2","10","2017","2/10/2017","2","1","1",0.033786616719177,0.00395,0.98200642775335,18.5867586666667,0.980924304171466,0.00160333333333331,-0.454135093820579
"T18_80_B_2","T18","80","B","2","10","2017","2/10/2017","2","1","1",0.0527028810408133,0.00614533333333333,0.985509920937395,19.288432,0.944529308789235,0.000474666666666655,-0.499115515460904
"T18_80_C_2","T18","80","C","2","10","2017","2/10/2017","2","1","1",0.0253332475096202,0.00283133333333333,0.543400410371948,19.523298,0.851235723807409,-0.004946,0.796085762463699
"T18_80_D_2","T18","80","D","2","10","2017","2/10/2017","2","1","1",0.0305512799145303,0.00366333333333333,0.988727685743215,19.454848,0.994145530286759,0.00323133333333334,0.340462799206714
"T18_80_E_2","T18","80","E","2","10","2017","2/10/2017","2","1","1",0.128427288202492,0.0153786666666667,0.371077281382078,18.5785213333333,0.937997565781343,-0.049236,0.567405201081964
"T18_120_A_2","T18","120","A","2","10","2017","2/10/2017","2","1",NA,0.00549012630584375,0.000608999999999999,0.0722206507819767,9.85642933333333,0.757137767964344,-0.012725,-0.0652794720107717
"T18_120_B_2","T18","120","B","2","10","2017","2/10/2017","2","1",NA,-0.0222485956772099,-0.002496,-0.438141148378884,12.7790566666667,0.986065961677037,-0.0163283333333333,0.205448767469521
"T18_120_C_2","T18","120","C","2","10","2017","2/10/2017","2","1",NA,0.1603643660652,0.0174616666666667,0.311552700002989,15.7535176666667,0.801605681077539,0.00973533333333335,0.0901200019134947
"T18_120_D_2","T18","120","D","2","10","2017","2/10/2017","2","1",NA,0.188075981878801,0.021988,0.241456860843174,18.9014893333333,0.982783051316052,-0.00712166666666667,-0.373594510520631
"T18_120_E_2","T18","120","E","2","10","2017","2/10/2017","2","1",NA,-0.245964093112365,-0.027734,0.375462812895909,20.4683063333333,0.88650547106971,0.00731333333333331,-0.0282142113618247
"T18_160_A_2","T18","160","A","2","10","2017","2/10/2017","2","1",NA,0.0511748563926482,0.00643133333333333,0.0399063048469284,19.6241663333333,0.883523520095809,0.00689366666666666,0.41888153685886
"T27_80_A_1","T27","80","A","2","10","2017","2/10/2017","1","1","1",0.10463604768003,0.0114755862371247,0.972201936781672,19.2906809116809,0.980403973045626,0.0036051939513478,-0.340477548760219
"T27_80_B_1","T27","80","B","2","10","2017","2/10/2017","1","1","1",0.066115091840138,0.00671143984220907,0.890839339773629,35.0661819636204,0.960475476291846,0.00463265395573087,0.208273631888299
"T27_80_C_1","T27","80","C","2","10","2017","2/10/2017","1","1","1",0.0906332056254564,0.00973824238439623,0.990884462848452,24.1196868507561,0.997876239315766,0.0132126451895683,-0.0531529811301004
"T27_80_D_1","T27","80","D","2","10","2017","2/10/2017","1","1","1",0.184875658731124,0.0189809774271313,0.828109003257145,20.6803605084374,0.983114099932351,0.00198404558404558,-0.326652513288379
"T27_80_E_1","T27","80","E","2","10","2017","2/10/2017","1","1","1",0.0643877806602694,0.00598920118343195,0.327196220967729,7.27182559171597,0.835331501562691,0.0101792899408284,-0.364400425275806
"T27_120_A_1","T27","120","A","2","10","2017","2/10/2017","1","1",NA,0.0228426564719988,0.00234790707867631,0.383067539334496,22.0560248082402,0.972600333680296,0.00211643655489808,-0.196747741281061
"T27_120_B_1","T27","120","B","2","10","2017","2/10/2017","1","1",NA,0.0850385033120801,0.00880105193951347,0.919515992634639,23.951386522025,0.964413156137258,0.0310928117466579,0.207230522004759
"T27_120_C_1","T27","120","C","2","10","2017","2/10/2017","1","1",NA,0.0158064777928779,0.00164724961648038,0.20499402230408,5.9357305281613,0.951083842837582,-0.00174801665570896,-0.40574920302949
"T27_120_D_1","T27","120","D","2","10","2017","2/10/2017","1","1",NA,0.0330548672105803,0.00328871356563664,0.720780263673483,16.589934527723,0.970819409880285,-0.00664099276791584,-0.256188962158419
"T27_120_E_1","T27","120","E","2","10","2017","2/10/2017","1","1",NA,-0.000182084553386727,-1.87157571772956e-05,-0.498907232358652,15.5409092483015,0.943407534807743,0.00246259040105194,-0.342024123844963
"T27_160_A_1","T27","160","A","2","10","2017","2/10/2017","1","1",NA,0.013456656468705,0.00129173789173789,0.0160939139691008,17.040418759588,0.949122355597329,-0.00708244575936883,0.816992202789255
"T27_160_B_1","T27","160","B","2","10","2017","2/10/2017","1","1",NA,0.0379599814163925,0.00393771641463949,0.69486288383023,20.1315782818321,0.960771361412976,0.0213456497918036,-0.371399274115067
"T27_160_C_1","T27","160","C","2","10","2017","2/10/2017","1","1",NA,-0.00306688985041536,-0.000312380952380955,-0.715483716557423,6.87564571428571,0.998304489177623,-0.00669142857142861,0.0127671352414895
"T27_160_D_1","T27","160","D","2","10","2017","2/10/2017","1","1",NA,-0.00812742419755818,-0.000784352399737015,-0.251310783985541,9.84281757615604,0.937324741646622,0.00781626123164583,0.600740908921936
"T27_160_E_1","T27","160","E","2","10","2017","2/10/2017","1","1",NA,0.00801227591077756,0.000848739864124481,0.0929559186965332,24.635196712689,0.926752495305103,0.0422628095551172,0.466145805307379
"T18_80_A_5","T18","80","A","2","12","2017","2/12/2017","5","1","1",0.056849598247257,0.00554066666666667,0.944403146097146,12.957276,0.956924439133841,-0.00358933333333331,-0.478879012651234
"T18_80_B_5","T18","80","B","2","12","2017","2/12/2017","5","1","1",0.0241834408533673,0.00229333333333333,0.243450453808684,8.69689466666666,0.815012892022686,-0.0185013333333333,0.260312234049388
"T18_80_C_5","T18","80","C","2","12","2017","2/12/2017","5","1","1",0.0617246021166544,0.005976,0.889112981856353,12.7994273333333,0.988164634870903,0.00397733333333334,-0.0176607686496555
"T18_80_D_5","T18","80","D","2","12","2017","2/12/2017","5","1","1",0.0768233532023291,0.007064,0.953043220775349,10.1201933333333,0.972597744575313,-0.00421933333333333,-0.227511549023171
"T18_80_E_5","T18","80","E","2","12","2017","2/12/2017","5","1","1",0.0341169297852882,0.00323533333333333,0.929016064764692,9.84814399999999,0.971649012826326,0.00133666666666665,-0.495872634029122
"T18_120_A_5","T18","120","A","2","12","2017","2/12/2017","5","1",NA,0.11086428107852,0.010502,0.909419371401001,10.2844353333333,0.980360499522222,-0.001582,-0.30847184029142
"T18_120_B_5","T18","120","B","2","12","2017","2/12/2017","5","1",NA,0.0998237616681858,0.00910266666666667,0.767916010411102,5.265624,0.989640195292627,-0.00471866666666666,0.0304073444216608
"T18_120_C_5","T18","120","C","2","12","2017","2/12/2017","5","1",NA,0.314274953093454,0.027597619047619,0.918669763459347,34.7630985714286,0.913225232292249,0.00475142857142855,0.75107995343655
"T18_120_D_5","T18","120","D","2","12","2017","2/12/2017","5","1",NA,0.0952135671913237,0.00929,0.910472944139499,6.87199866666666,0.987107452740947,-0.0647413333333333,0.550269885246701
"T18_120_E_5","T18","120","E","2","12","2017","2/12/2017","5","1",NA,0.168124642217535,0.0166069047619048,0.846003151447803,12.4963504761905,0.949350430724649,0.00542428571428568,0.685470628437501
"T18_160_A_5","T18","160","A","2","12","2017","2/12/2017","5","1",NA,0.149371231755913,0.0149393333333333,0.916731261364549,11.3497146666667,0.992905364187257,0.022954,0.148084052554159
"T18_160_B_5","T18","160","B","2","12","2017","2/12/2017","5","1",NA,0.139878427126646,0.0142993333333333,0.999222154407502,9.26519266666666,0.937239543842919,0.00248733333333332,-0.44995739598703
"T18_160_C_5","T18","160","C","2","12","2017","2/12/2017","5","1",NA,0.155124845974873,0.0169426666666667,0.99526193732114,12.839122,0.976561303924733,0.00471066666666666,0.234309928899164
"T18_160_D_5","T18","160","D","2","12","2017","2/12/2017","5","1",NA,0.304791269938473,0.0322853333333333,0.996955910127058,26.363428,0.993634808072024,-0.001414,-0.471714342572159
"T18_160_E_5","T18","160","E","2","12","2017","2/12/2017","5","1",NA,0.320864761951862,0.0331093333333333,0.997540595230326,39.3469433333333,0.995385953501776,0.00682400000000002,-0.479428193860706
"T18_80_A_6","T18","80","A","2","13","2017","2/13/2017","6","1","1",0.118804971759541,0.0111546666666667,0.994829092665864,16.7055566666667,0.973065936912707,0.007298,-0.320997031260874
"T18_80_B_6","T18","80","B","2","13","2017","2/13/2017","6","1","1",0.107455693019313,0.010644,0.954670138470145,17.7505426666667,0.976384022944651,0.000603333333333313,-0.439536594254699
"T18_80_C_6","T18","80","C","2","13","2017","2/13/2017","6","1","1",0.19039150345566,0.0172813333333333,0.997190740672797,26.1713126666667,0.99658108901298,-0.00616133333333331,0.118863660580876
"T18_80_D_6","T18","80","D","2","13","2017","2/13/2017","6","1","1",0.218520705604491,0.02141,0.981687921960342,19.970498,0.967854785909981,0.00525866666666668,-0.118359476141726
"T18_80_E_6","T18","80","E","2","13","2017","2/13/2017","6","1","1",0.197096327826042,0.0195233333333333,0.969082806702381,24.908066,0.990443442906849,-0.00594,0.508162770816095
"T18_120_C_6","T18","120","C","2","13","2017","2/13/2017","6","1",NA,0.307424984311621,0.0306203333333333,0.931743231464974,24.6057806666667,0.916093399969664,-0.000255333333333335,-0.499320804212682
"T18_120_E_6","T18","120","E","2","13","2017","2/13/2017","6","1",NA,0.329773993759657,0.0350980952380952,0.996669409204448,22.2394695238095,0.994249826902814,-0.00524238095238097,0.468675396440177
"T18_160_A_6","T18","160","A","2","13","2017","2/13/2017","6","1",NA,0.435331309472684,0.04542,0.998767747973119,27.4614933333333,0.998720993641596,0.00393999999999995,0.0903287500754519
"T18_160_C_6","T18","160","C","2","13","2017","2/13/2017","6","1",NA,0.4293348513723,0.0435333333333333,0.998748636641035,20.8674533333333,0.945534098145755,0.00858666666666664,-0.68860602129395
"T18_160_D_6","T18","160","D","2","13","2017","2/13/2017","6","1",NA,0.437556300184457,0.0467906666666667,0.991650799132597,27.6016466666667,0.91854977704936,0.00155866666666667,-0.467416849716004
"T18_160_E_6","T18","160","E","2","13","2017","2/13/2017","6","1",NA,0.417510832362784,0.04346,0.991261271912233,30.9165166666667,0.997766582033384,-0.0200366666666667,0.556313891592666
"T27_80_A_5","T27","80","A","2","13","2017","2/13/2017","5","1","1",0.489585546257375,0.0617646666666666,0.989313689650545,42.087084,0.994869812096965,-0.013468,0.861158939907013
"T27_80_B_5","T27","80","B","2","13","2017","2/13/2017","5","1","1",0.46472394682604,0.05302,0.849844206511712,41.7214386666667,0.875896207100745,0.03582,0.368281426904144
"T27_80_C_5","T27","80","C","2","13","2017","2/13/2017","5","1","1",0.155587775198695,0.0184326666666667,0.91694760142677,18.5059546666667,0.949193844935582,0.00809999999999999,0.312651614963134
"T27_80_D_5","T27","80","D","2","13","2017","2/13/2017","5","1","1",0.214658178874502,0.0248386666666667,0.919053013117776,18.0523126666667,0.905708776443794,0.00284533333333334,-0.128656411990421
"T27_80_E_5","T27","80","E","2","13","2017","2/13/2017","5","1","1",0.751810231089495,0.092498,0.997998892085719,37.5033726666667,0.996663480995465,0.00642933333333333,0.235556116072577
"T27_120_A_5","T27","120","A","2","13","2017","2/13/2017","5","1",NA,0.620345942428623,0.07468,0.980313387853213,31.3335513333333,0.978214859824136,-0.0134893333333333,0.0799979872216927
"T27_120_B_5","T27","120","B","2","13","2017","2/13/2017","5","1",NA,1.02780483171293,0.114202666666667,0.96563571914246,38.4592233333333,0.955588432457236,-0.000353333333333322,-0.49927743964739
"T27_120_C_5","T27","120","C","2","13","2017","2/13/2017","5","1",NA,1.0848277886522,0.139615333333333,0.959915996747995,28.435748,0.990139651389432,-0.000989999999999978,-0.408124748722869
"T27_120_D_5","T27","120","D","2","13","2017","2/13/2017","5","1",NA,0.758759271217558,0.0825646666666666,0.968037591613702,26.329994,0.967732414081409,0.000248333333333335,-0.490993251409331
"T27_120_E_5","T27","120","E","2","13","2017","2/13/2017","5","1",NA,0.042425743188413,0.00514199999999999,0.209208784692631,9.018634,0.725379842683548,0.042544,0.358956277987863
"T27_160_A_5","T27","160","A","2","13","2017","2/13/2017","5","1",NA,0.284672333213442,0.03386,0.994578997785337,23.415454,0.992269847444136,-0.00879400000000001,0.346398850431636
"T27_160_B_5","T27","160","B","2","13","2017","2/13/2017","5","1",NA,1.03536137255836,0.106939333333333,0.984100084575785,26.9395006666667,0.947918498891605,0.001398,-0.353748132942788
"T27_160_C_5","T27","160","C","2","13","2017","2/13/2017","5","1",NA,0.366051586030134,0.0424666666666667,0.967948346748509,12.638508,0.918787025178513,-0.0470913333333333,0.51692939803424
"T27_160_D_5","T27","160","D","2","13","2017","2/13/2017","5","1",NA,1.08307161194232,0.125813333333333,0.936337614882836,21.119298,0.979467598866361,-0.00197266666666666,-0.443647083071427
"T27_160_E_5","T27","160","E","2","13","2017","2/13/2017","5","1",NA,0.321905379330402,0.0427193333333333,0.975537735575894,16.6323113333333,0.964365860779511,-0.00392866666666666,-0.0846338602851899
"T27_80_A_6","T27","80","A","2","14","2017","2/14/2017","6","1","1",0.458471095353142,0.0481043333333333,0.987615128219971,21.00791,0.997360329318593,-0.0140376666666667,-0.127147823483252
"T27_80_B_6","T27","80","B","2","14","2017","2/14/2017","6","1","1",0.0560024708494571,0.00566133333333333,0.436312491322514,2.27297666666667,0.960337663360021,-0.004352,0.120848011440621
"T27_80_C_6","T27","80","C","2","14","2017","2/14/2017","6","1","1",0.322796426127628,0.0339493333333333,0.870410444107776,18.0288986666667,0.98240884878128,-0.000613333333333313,-0.400276642772651
"T27_80_E_6","T27","80","E","2","14","2017","2/14/2017","6","1","1",0.0308105915931069,0.00311466666666667,0.184252284123716,7.21587933333333,0.995293392907377,-0.000419333333333333,-0.495103615173144
"T27_120_A_6","T27","120","A","2","14","2017","2/14/2017","6","1",NA,0.883840753503873,0.114762,0.981066885692063,17.5613286666667,0.991883323161928,-0.048362,0.454369396655445
"T27_120_B_6","T27","120","B","2","14","2017","2/14/2017","6","1",NA,1.00063091438751,0.125866666666667,0.998096640963519,17.924066,0.999587288958122,0.00199066666666668,-0.483340386586713
"T27_120_C_6","T27","120","C","2","14","2017","2/14/2017","6","1",NA,1.02692537081873,0.134923333333333,0.999776601624715,10.6480816666667,0.962543671993437,0.0149907142857143,0.645401111746421
"T27_120_D_6","T27","120","D","2","14","2017","2/14/2017","6","1",NA,0.692166682297996,0.0827186666666666,0.99702758090846,5.55885999999999,0.969121473027742,-0.0335426666666666,0.713550215359941
"T27_120_E_6","T27","120","E","2","14","2017","2/14/2017","6","1",NA,0.224671942665979,0.0293013333333333,0.984661520424421,11.8062506666667,0.992345553919728,0.0109666666666667,0.451344866710995
"T27_160_A_6","T27","160","A","2","14","2017","2/14/2017","6","1",NA,0.242763929060603,0.0296113333333333,0.988226644815206,8.859238,0.925000926765352,0.00735666666666667,0.00679383520377796
"T27_160_B_6","T27","160","B","2","14","2017","2/14/2017","6","1",NA,4.79829118856083,0.534481333333333,0.995941122240335,8.98976,0.992720521262479,0.00440199999999998,0.64299040429978
"T27_160_C_6","T27","160","C","2","14","2017","2/14/2017","6","1",NA,0.832033332740146,0.102618666666667,0.959739590601246,8.47434733333333,0.964047908144268,-0.000314666666666656,-0.499343854974545
"T27_160_D_6","T27","160","D","2","14","2017","2/14/2017","6","1",NA,1.08249624038401,0.137334666666667,0.994152049190731,5.92596266666667,0.954790202329706,0.00390866666666665,0.948713063539121
"T27_160_E_6","T27","160","E","2","14","2017","2/14/2017","6","1",NA,0.376021410695117,0.0507593333333333,0.973661412286481,12.4178613333333,0.992991201425195,-0.00281266666666667,-0.37674751347373
"T15_80_A_1","T15","80","A","2","15","2017","2/15/2017","1","1","1",0.0986392944287439,0.0124606666666667,0.94722047992725,43.1031513333333,0.999797570414345,-0.00335266666666667,0.395120569450943
"T15_80_B_1","T15","80","B","2","15","2017","2/15/2017","1","1","1",0.129065777929176,0.0155713333333333,0.853211813221574,38.2610486666667,0.992116084163892,0.00299266666666667,0.435598107983841
"T15_80_C_1","T15","80","C","2","15","2017","2/15/2017","1","1","1",0.244634623026152,0.0315333333333333,0.825606875845901,45.083562,0.998419903838226,-0.002848,-0.0861891822274767
"T15_80_D_1","T15","80","D","2","15","2017","2/15/2017","1","1","1",0.0084975768924386,0.00100333333333333,-0.222154982243876,34.539016,0.955590256544973,-0.00491666666666668,-0.138035938623119
"T15_80_E_1","T15","80","E","2","15","2017","2/15/2017","1","1","1",0.146479998819311,0.0170453333333333,0.988599421777586,44.9371753333333,0.99071717254567,0.00958133333333334,-0.464268135080501
"area1_forest_A_2_15_2017","area1","forest","A","2","15","2017","2/15/2017",NA,NA,"1",0.00362332508913865,0.000355333333333334,0.0428901756196389,36.262372,0.994628421652062,-0.00530066666666667,0.0775477783962014
"area1_forest_B_2_15_2017","area1","forest","B","2","15","2017","2/15/2017",NA,NA,"1",0.0185518709499887,0.001848,0.881186773365545,46.80527,0.997351972899488,0.024796,0.934046272741721
"area1_forest_C_2_15_2017","area1","forest","C","2","15","2017","2/15/2017",NA,NA,"1",0.0256375379984145,0.00255095238095238,0.978686002606582,56.1565138095238,0.999472679278746,0.280142380952381,0.967275186952483
"area1_forest_D_2_15_2017","area1","forest","D","2","15","2017","2/15/2017",NA,NA,"1",0.0319897098949074,0.00305266666666666,0.952429011301621,36.9222206666667,0.961113585094431,0.024124,-0.00918040550036014
"area1_forest_E_2_15_2017","area1","forest","E","2","15","2017","2/15/2017",NA,NA,"1",0.0398524541287222,0.00408466666666667,0.846945146798218,41.6310226666667,0.990161079347515,0.132137333333333,0.985398576054849
"T15_80_B_2","T15","80","B","2","16","2017","2/16/2017","2","1","1",0.10272962103599,0.0106346666666667,0.996904755779465,30.3466553333333,0.971797972727586,0.00645333333333334,0.967769117007286
"T15_80_C_2","T15","80","C","2","16","2017","2/16/2017","2","1","1",0.0827398326922081,0.00779,0.990921314308358,28.5953886666667,0.994949057001898,0.162852,0.737416380435469
"T15_80_D_2","T15","80","D","2","16","2017","2/16/2017","2","1","1",0.0757120228497393,0.007676,0.99250636193237,23.7798,0.991696688812725,-0.0130586666666667,0.0169259451972547
"T15_80_E_2","T15","80","E","2","16","2017","2/16/2017","2","1","1",0.0466903951270569,0.00468,0.989116364071492,19.485116,0.962749698401301,-0.0225673333333333,-0.126865192674283
"T15_120_A_2","T15","120","A","2","16","2017","2/16/2017","2","1",NA,0.0535168835911241,0.005476,0.984435622338371,29.8075266666667,0.985002286213359,-5.1333333333326e-05,-0.499956959319019
"T15_120_B_2","T15","120","B","2","16","2017","2/16/2017","2","1",NA,0.0389562250069576,0.004,0.92606562754018,26.19359,0.888081621056372,-0.013728,-0.287933108505232
"T15_120_C_2","T15","120","C","2","16","2017","2/16/2017","2","1",NA,0.0250849900308234,0.002552,0.673261622190598,23.4408113333333,0.994657948172558,-0.0479046666666667,0.26407938381863
"T15_120_D_2","T15","120","D","2","16","2017","2/16/2017","2","1",NA,0.0178083541904957,0.00182855029585799,0.0263485764345293,28.9412310650888,0.831099392742563,0.00888920118343191,-0.793820629214685
"T15_120_E_2","T15","120","E","2","16","2017","2/16/2017","2","1",NA,0.015639721525032,0.00163628179158226,0.957643295004884,27.740202003151,0.960715319625677,0.00042241728561782,-0.362990328762697
"T15_160_A_2","T15","160","A","2","16","2017","2/16/2017","2","1",NA,0.0131841538404684,0.00136803961287418,0.341405548001039,24.437347535449,0.952542738715262,0.0162380823767724,-0.0120207392756848
"T15_160_B_2","T15","160","B","2","16","2017","2/16/2017","2","1",NA,0.0471769055710373,0.00498298446995273,0.951195220864774,33.3010044564483,0.963742858277035,0.0116692099932478,-0.170478175897878
